AA	總論{{一}}
ZZ	夫處方療疾, 當先診知病源, 察其盈虛而行補瀉. 辯土地寒暑, 觀男女盛衰, 深明草石甘辛, 細委君臣冷熱, 或正經自病, 或外邪所傷, 或在陰在陽, 或在表在裏, 當須審其形候各異, 虛實不同, 尋彼邪由, 知疾所起. 表實則瀉表, 裏實則瀉裏, 在陽則治陽, 在陰則治陰, 以五藏所納之藥, 於四時之用所宜, 加減得中, 利汗無誤, 則病無不差矣. 若不洞明損益, 率自胷襟, 畏忌不分, 反惡同用, 或病在表而却瀉裏, 病在裏而却宣表, 在陰則瀉陽, 在陽則瀉陰, 不能曉了, 自昧端由, 疾旣不瘳, 遂傷患者, 深可戒也. 故爲醫者, 必須澄心用意, 窮幽造微, 審疾狀之淺深, 明藥性之緊緩, 製方有據, 與病相符, 要妙之端, 其在于此. 凡療諸病, 當先以湯, 蕩除五藏六腑, 開通諸脉, 理順陰陽, 令中破邪, 潤澤枯朽, 悅人皮膚, 益人氣力, 水能淨萬物, 故用湯也. 若四肢病久, 風冷發動, 次當用散, 散能逐邪, 風氣濕痺, 表裏移走, 居無常處, 散當平之. 次當用丸, 丸藥者, 能逐風冷, 破積聚, 消諸堅癥, 進飮食, 調和榮衛. 能參合而行之者, 可謂上工, 故曰醫者意也. 大底養命之藥則多君, 養性之藥則多臣, 療病之藥則多使, 審而用之, 則百不失一矣.
CC	論合和
ZZ	凡合和湯藥, 務在精專, 甄別新陳, 辯明州土, 修制合度, 分{=兩無差@취진판 영인본}, 用得其宜, 病無不愈. 若眞假非類, 冷{熟=熱@『太平聖惠方』}相乖, 草石昧其甘辛, 炮炙失其體性, 篩羅麁惡, 分劑差殊, 雖有療疾之名, 永無必愈之效. 是以醫者必須慇懃注意, 再四留心, 不得委以他人, 令其修合, 非但多少不等, 兼亦失{本方意=本方之意@『太平聖惠方』}, 擣和之後, 姸醜難明, 衆口嘗之, 衆鼻齅之, 藥之精氣一切都盡, 而將療病固難得效, 此盖是合和之盈虛, 不得咎醫方之淺拙, 熟宜思愼之也. 又古方藥味多以銖兩, 及用水皆言升數, 秊代緜歷浸遠, 傳寫轉見乖訛, 或分兩少而水數多, 或水數{多=少@『太平聖惠方』}而分兩{少=多@『太平聖惠方』}, 輕重不等, 器量全殊, 若不別其精麁, 何以明其取捨. 今則加減合度, 分兩得中, 削舊方之參差, 洽今時之行用. 其方中凡言分者, 卽二錢半爲一分也. 凡言兩者, 卽四分爲一兩也. 凡言斤者, 卽十六兩爲一斤也. {{和劑ㆍ指南此下云: 凡言等分者, 非分兩之分, 卽諸藥斤兩多少皆同爲等分也.}} 凡煮湯, 云用水一大盞者, 約一升也. 一中盞者, 約五合也. 一小盞者, 約三合也. 務從簡易, 庶免參差, 俾令修合煎調, 臨病濟急, 不更冗繁, 易爲曉了也.
ZZ	凡煮湯, 當以井華水, 極令淨潔, 其水數依方多少, 不得參差. 常令文火小沸, 令藥味出, 煮之調和, 必須用意. 然則利湯欲生, 少水而多取; 補湯欲熟, 多水而少取. 用新布絞之. 服湯寧小熱, 卽易消下, 若冷卽令人嘔逆. 云分再服三服者, 要令勢力相及, 幷視人之強羸, 病之輕重, 以爲進退增減之, 不必悉依方說也. 凡擣羅丸藥, 用重密絹令細, 於蜜中和則易熟. 若羅草藥爲散, 以輕細絹, 於酒中調服則不泥. 其石藥亦用細絹羅, 然後硏理數百過, 視色理和同爲佳也.
ZZ	凡湯酒中用諸石藥, 皆細擣之如粟米, 亦可以葛篩令調, 並新緜裹, 內湯酒中同煎. 凡合丸散藥, 先細切曝燥乃擣之, 有各擣者, 有合擣者, 並隨方所言, 其潤濕 {{和劑ㆍ指南作澤.}} 藥, 如天門冬ㆍ乾地黃之類, 皆先切曝, 獨擣令{偏:편!徧의 오자}碎, 更出細擘曝乾. 若逢陰雨, 亦以微火烘之, 旣燥小停, 冷乃擣之. 凡濕藥燥皆大秏, 當先增分兩, 須得屑乃秤之爲正, 其湯酒中不須如此也.
ZZ	凡合膏藥, 初以酒或醋漬令淹浹, 不用多汁, 密覆勿洩, 從今旦至明旦, 亦有止一宿者. 微火煎之, 令三上三下以洩其熱勢, 令藥味得出, 上之使匝匝沸, 乃下之使沸靜, 良久乃止, 寧欲小小生. 其中有薤白者, 以兩頭微燋黃爲候; 有白芷ㆍ附子者, 亦令小黃色也. 豬肪皆勿令經水, 臘月彌佳. 絞膏以新布絞之. 若是可服之膏, 膏滓亦可酒煮飮之; 可摩之膏, 膏滓則宜以傅病上. 此盖欲兼盡其藥力故也. 膏中用雄黃ㆍ朱砂ㆍ麝香之輩, 皆別硏如粉, 候絞膏畢乃可投中, 以物疾攪至于凝, 強勿使沈聚在下不調. 有水銀ㆍ胡粉者, 於凝膏中硏令消散.
ZZ	凡修鍊神仙延年丸散, 皆須先淨其室, 燒香灑掃, 勿得浪語. 當使童子擣之, 務令細熟, 杵數可至千萬過, 以多爲佳. 勿令婦女ㆍ小兒ㆍ喪孝ㆍ產婦及痼疾ㆍ六根不具之人及六畜見之, 皆不效也. 其逐急諸小湯散, 則不在此限爾.
CC	論服餌
ZZ	夫藥有君臣, 人有虛實, 服餌之法, 輕重不同, 少長殊途, 強羸各異, 或宜補宜瀉, 或可湯可丸, 加減不失其宜, 藥病相投必愈. 若病在胷膈已上者, 先食後服藥; 病在心腹已下者, 先服藥而後食; 病在四肢血脉者, 宜空腹而在旦; 病在骨髓者, 宜飽滿而在夜. 凡藥勢與食氣不欲相逢, 食氣消卽進藥, 藥氣散卽進食, 如此消息, 卽得五藏安和, 非但藥性之多方, 其節適早晩復須調理, 今所云先食後食, 盖此義也.
ZZ	凡服毒藥治病, 先起{{和劑指南此下有如字}} 黍粟, 病去卽止, 不去倍之, 不去十之, 取去爲度. 今藥中單行一兩種有毒之藥, 只如巴豆ㆍ甘遂之輩, 不可令至盡劑爾. 如經所說: 一味一毒, 服一丸如細麻; 二味一毒, 服二丸如大麻; 三味一毒, 服三丸如胡豆; 四味一毒, 服四丸如小豆; 五味一毒, 服五丸如大豆; 六味一毒, 服六丸如梧桐子. 以數爲丸, 而毒中又有輕重, 只如狼毒ㆍ鉤吻, 豈同附子ㆍ芫花之輩耶！ 凡此之類, 皆須量用也.
CC	論用藥
ZZ	夫濟時之道, 莫大於醫; 去疾之功, 無先於藥. 人居五行四氣, 病{主:주!生의 오자}暑濕風寒, 藥分三品七情, 性有溫平冷熱, 凡於行用, 不得差殊, 庶欲立方, 便須憑據, 療之合理, 病無不痊. 若自昧新陳, 莫分眞假, 用之偏僻, 使之稀踈, 著以別名, 求於奇異, 未識體性, 妄說功能, 率自胷襟, 深爲造次. 是以醫不三世, 不服其藥, 斯言信有之矣, 豈不愼思者哉. 又不得用土地所無, 貴價難市, 珠珍諸寶, 稀罕所聞, 縱富貴而無處搜求, 設貧下而寡財不及, 或於遠邦求藥, 或則確執古方, 不能變通, 稽於致辦, 病旣深矣, 藥何療焉. 繇是醫者必須捨短從長, 去繁就簡, 卷舒有自, 盈縮隨機, 斟酌其宜, 增減允當, 察病輕重, 用藥精微, 則可謂上工矣.
BB	和劑局方
CC	論服藥食忌
ZZ	有朮, 勿食桃·李, 及雀肉·胡荽·大蒜·青魚鮓等物.
ZZ	有藜蘆, 勿食狸肉. 有巴豆, 勿食蘆笋羹及野猪肉. 有黃連·桔梗, 勿食猪肉. 有半夏·{昌:창!菖의 오자}蒲, 勿食飴糖及羊肉. 有地黃, 勿食蕪荑. 有細辛, 勿食生菜. 有天門冬, 勿食鯉魚. 有甘草, 勿食菘菜及海藻. 有牡丹, 勿食生胡荽. 有商陸, 勿食犬肉. 有常山, 勿食生葱ㆍ生菜. 有空青ㆍ朱砂, 勿食生血物. 有茯苓, 勿食醋物. 有鼈甲, 勿食莧菜.
ZZ	服藥, 不可多食生胡荽及蒜雜生菜, 又不可食諸滑物ㆍ果實等, 又不可多食肥猪犬肉, 油膩肥羹, 魚鱠腥臊物.
CC	論炮炙三品藥石類例
DD	玉石部
ZZ	丹砂ㆍ雄黃ㆍ雌黃{{凡使, 先打碎硏細水飛過, 灰椀內鋪紙滲乾, 始入藥用. 如別有煆煉, 各依本方.}} 石鍾乳{{凡使, 先依法煮, 候日數足, 入水硏細不磣, 方可入藥服食.}} 白礬{{凡使, 用光明者, 先於鐵銚子內或刀上, 火中煆過, 方硏細入藥用. 如生用者, 各依本方.}} 赤石脂ㆍ白石脂{{凡使, 須於炭火中煆通赤, 取出放冷, 硏細水飛過, 方入藥用. 如緩急則硏令極細, 不飛亦得.}} 硫黃{{凡使, 先細硏水飛過, 方入藥用. 如別有煆煉, 各依本方用.}} 陽起石{{凡使, 先以炭火燒通赤, 好酒內淬柒遍, 如只以好酒煮半日亦得, 並硏細水飛過, 方入藥用.}} 磁石{{凡使, 先以炭火燒通赤, 釅醋內淬九遍, 擣碎羅過, 細硏水飛, 方入藥用. 如入湯劑, 卽杵, 水淘去赤汁使.}} 黑鉛{{凡使, 先以鐵銚炭火鎔開, 取出瀉於新瓦上, 濾去滓脚, 如此一兩番, 取淨鉛秤用. 如或結砂子, 各依本方煆煉.}} 黃丹{{凡使, 先炒令色變, 硏令極細, 再羅過, 方入藥用.}} 硝石{{凡使, 先硏令極細, 以甆甁子盛, 於炭火中煆令通赤, 方入藥用. 如緩急, 只炒過硏細使亦得.}} 食塩{{凡使, 先須炒過硏細, 方入藥用.}} 石灰{{凡使, 須用風化爲末者佳, 先以醋浸一宿, 漉出候乾, 用火煆令腥穢氣盡, 候冷硏細, 方入藥用. 如別有煆煉, 各依本方.}} 伏龍肝{{卽竈中對釜月下土也. 凡使, 先火燒赤, 硏細水飛, 方入藥用. 如急用, 只燒過硏使亦得.}} 百草霜{{村㽵者良. 凡使, 須硏令極細, 再羅過, 方入藥用.}} 滑石{{凡使, 先以刀刮下, 以牡丹皮同煮一伏時, 取出用東流水硏飛過, 日中㬠乾, 方入藥用. 如急用, 只硏細亦得.}} 禹餘粮ㆍ紫石英ㆍ石膏ㆍ寒水石ㆍ代赭石ㆍ石燕等{{凡使, 並用火煆, 醋淬柒遍, 擣硏水飛令極細, 方入藥用.}} 太陰玄精石{{凡使用, 擣碎細硏水飛過㬠乾, 方入藥用.}} 白堊{{卽白善土也. 凡使, 每修事一兩, 用塩一分, 投於斗水中, 用銅器中煮十餘沸, 然後用此沸了水飛過, 方入藥用, 免結澁人腸也.}} 自然銅{{凡使, 用火燒令通赤, 以醋淬{玖:구!九의 동자}遍, 細硏羅過用.}} 花蕊石{{凡使, 當以大火煆過. 如緩急, 不煆亦得.}}
DD	草部
ZZ	菖蒲{{用石上生節密者佳. 凡使, 須剉碎微炒用, 或只焙乾亦得.}} 菊花{{凡使, 須去枝梗, 焙乾, 方入藥用.}} 人參{{凡使, 先去蘆頭, 剉, 焙乾秤, 方入藥用. 不去蘆令人吐, 愼之.}} 天門冬ㆍ麥門冬{{凡使, 先以湯微潤, 抽去心, 焙乾秤用.}} 甘草{{用大者. 凡使, 先破開, 火上微炙黃赤色, 方入藥用. 如稍多, 只爁炒亦得. 或生用, 亦依本方.}} 熟乾地黃{{凡使, 須淨洗過, 以酒浸一日夜, 漉出, 蒸三兩炊, 焙乾, 方入藥用. 如急用, 只以酒洒蒸過使, 不蒸亦得, 不若酒浸蒸過爲佳. 生乾者只生用, 不用酒浸.}} 蒼朮{{凡使, 先以米泔浸, 春五ㆍ夏三ㆍ秋七ㆍ冬十, 逐日換水, 日足刮去皮, 焙乾, 方入藥用. 如緩急, 不浸亦得, 但稍燥爾.}} 兔絲子{{凡使, 先以水洗, 澄汰去沙土了, 却以好酒浸一晝夜, 漉出蒸過, 乘熱杵爲麁末, 焙乾, 然後入藥同擣, 擣之不盡者, 更以酒漬, 經三五日乃出, 更曬微乾擣之, 須臾悉盡, 熱卽易碎.}} 川牛膝{{凡使, 先洗去蘆頭, 剉碎, 以酒浸一日夜, 焙乾方用. 如急切, 用酒浸蒸過便使, 不蒸亦得.}} 	柴胡ㆍ前胡等{{凡使, 先去蘆頭, 洗剉焙乾, 方入藥用.}} 白朮ㆍ獨活ㆍ羌活等{{凡使, 須剉焙乾, 方入藥用.}} 車前子{{凡使, 須微炒燥, 方入藥用, 如只焙乾亦得.}} 木香{{凡使, 不見火, 須細剉, 日乾用. 如爲細末, 薄切, 微火焙乾使亦不妨, 然不若㬠乾之爲妙也.}} 山藥ㆍ川芎等{{凡使, 須剉碎焙乾用.}} 薏苡仁{{凡使, 須以糯米同焙乾用.}} 遠志{{凡使, 先須去心焙乾, 方入藥用. 如不去心, 令人煩悶. 更能以甘草湯浸一宿, 漉出焙乾用尤妙.}} 草龍膽{{凡使, 先去蘆, 剉碎, 用甘草浸一宿, 漉出曝乾用. 如緩急, 不浸亦得.}} 澤瀉{{凡使, 用酒浸一宿, 漉出焙乾用, 不浸亦得, 或有炮製, 各依本方.}} 石斛{{凡使, 先洗去根土, 用酒浸一宿, 漉出蒸過曝乾, 方入藥用. 如急用, 不蒸亦得. 如別有炮製, 各依本方.}} 巴戟天{{凡使, 先去心, 以酒浸一晝夜, 剉焙乾使. 如急用, 不浸亦得.}} 黃連{{凡使, 先淨去鬚, 剉碎, 用蜜拌, 慢火炒乾, 方入藥用.}} 蒺藜子{{凡使, 須淨揀擇, 蒸一伏時, 㬠乾, 於木臼中舂令刺盡, 用酒拌再蒸, 取出曝乾用.}} 黃耆{{凡使, 先須用擘開, 塗蜜炙微赤色, 却薄切, 焙乾秤, 方入藥用.}} 肉蓯蓉{{凡使, 先須以溫湯洗, 刮去上粗鱗皮, 切碎, 以酒浸一日夜, 漉出焙乾使. 如緩急要用, 卽酒浸煮過硏如膏, 或焙乾使亦得.}} 防風{{凡使, 先須去蘆及叉頭叉尾者, 洗剉焙乾, 方入藥用. 叉頭者令人發狂, 叉尾者令人發痼疾, 切宜愼之.}} 蒲黃{{卽是蒲上黃花, 須子細認, 勿誤用松黃. 凡使, 須用隔三重紙焙令色黃, 蒸半日, 却焙令乾用之妙. 破血消腫卽生使, 補血止血卽炒用之.}} 斷續{{凡使, 先剉碎, 用酒浸一伏時, 漉出焙乾, 方入藥用, 如急用, 不浸亦得.}} 細辛{{凡使, 先去土幷苗, 焙乾, 方入藥用.}} 五味子{{凡使, 先須淨揀去枝梗方用. 如入湯劑用, 搥碎使之.}} 蛇床子{{凡使, 先須慢火微炒過, 方入藥用.}} 山茵蔯{{凡使, 先須去根土, 細剉焙乾, 方入藥用, 勿令犯火.}} 王不留行{{凡使, 須先渾蒸一伏時, 却下漿水浸一宿, 至明漉出焙乾, 方入藥用.}} 乾薑{{凡使, 先須炮令裂, 方可入藥用.}} 苦參{{凡使, 不拘多少, 先須用濃糯米泔浸一宿, 漉出蒸一伏時, 却細切焙乾用之爲妙.}} 當歸{{凡使, 先須去塵幷蘆頭尖硬處一分已來, 用酒浸一宿, 漉出焙乾方用, 或微炒用, 各依本方. 若要補血, 卽使頭一節. 若要止痛破血, 卽用尾. 若一時用, 不如不使, 服食無效也.}} 麻黃{{凡使, 先去根節, 寸剉令理通, 別煮十數沸, 掠去其沫, 却取出碎剉過, 焙乾用. 不盡去之, 令人煩悶. 如用急, 只去根節亦得.}} 木通{{凡使, 先須剉去節, 方入藥用.}} 芍藥{{凡使, 須剉碎焙乾, 方可入藥用.}} 瞿麥{{凡使, 只用蘂殼, 不用莖葉. 若一時使, 卽令人氣咽及小便不禁.}} 仙靈脾{{凡使, 用羊脂拌炒過, 候羊脂盡爲度, 每修事一斤, 用羊脂四兩.}} 黃芩{{凡使, 先須剉碎, 微炒過, 方入藥用.}} 狗脊{{凡使, 先以猛火燎去毛令淨, 以酒浸一宿, 蒸過焙乾用. 如緩急, 不須酒浸亦得.}} 紫苑{{凡使, 先須淨洗去土, 微炒過, 方入藥用.}} 石韋{{凡使, 先以麁布拭去黃毛, 用羊脂炒乾, 方入藥. 如緩急, 微炙過使亦得.}} 萆薢{{凡使, 先須淨洗, 以酒浸一日夜, 焙乾使爲妙. 如緩急, 不在此限.}} 白薇{{凡使, 先去苗, 用糯米泔浸一宿, 漉出蒸過用.}} 艾葉{{凡使, 先去枝梗, 杵成茸, 以稀糯米粥拌匀, 焙乾用, 或慢火炒使, 恐難擣.}} 牛蒡子{{凡使, 要淨揀, 勿令有雜子, 然後用酒拌蒸一伏時, 取出焙乾, 別擣如粉, 方入藥用.}} 天麻{{凡使, 先以紙包浸濕, 於熱灰中煨熟, 取出以酒浸一宿, 却焙乾, 入藥用.}} 阿魏{{凡使, 先於淨鉢中硏如粉了, 却於熱酒器上裛過, 任入藥用.}} 高良薑{{凡使, 先剉碎, 以麻油少許拌匀炒過用.}} 百部根{{凡使, 用竹刀劈開去心, 酒浸一宿, 漉出細剉焙乾用.}} 茴香{{凡使, 用舶上者, 淘洗令淨, 却以酒浸一宿, 漉出曝乾炒過用. 如緩急, 只炒過用亦得.}} 牡丹皮{{凡使, 須淨揀, 酒拌蒸, 細剉㬠乾, 方入藥用.}} 京三稜ㆍ蓬莪朮{{凡使, 先以醋煮, 剉碎焙乾用, 或只煻灰中炮熟用亦得.}} 補骨脂{{性本大燥毒熱, 凡使, 用酒浸一宿漉出, 却用東流水浸三日夜, 再蒸過曝乾, 入藥用. 如緩急, 只以塩同炒令香, 去塩用亦得.}} 縮砂{{凡使, 先和皮慢火炒令熱透, 去皮取仁入藥用.}} 附子ㆍ天雄等{{凡使, 先炮裂令熟, 去皮臍, 焙乾, 方入藥用.}} 烏頭{{凡使, 先炮裂令熟, 去皮臍, 方入藥用. 或陰製, 以東流水浸柒日夜, 去皮臍尖, 切片焙乾用亦得.}} 肉豆蔻{{凡使, 先以麪裹, 於煻灰中炮, 以麪熟爲度, 去麪剉焙乾用.}} 半夏{{凡使, 先以沸湯浸, 候溫洗去滑, 如此七遍方用. 如入湯劑, 切片完用, 或尙戟人咽喉, 可杵爲末, 以生薑等分擣硏和爲劑, 淹一宿, 捏作餠子, 焙乾使. 如更杵爲末, 再以薑和劑淹之, 焙乾尤佳, 此用合湯妙.}} 大黃{{凡使, 或蒸過用, 或煻灰中炮熟用. 若取猛利, 卽主焙乾用.}} 旋覆花{{一名金沸草. 凡使, 須蒸過入藥用, 緩急不蒸亦得.}} 常山{{凡使, 剉碎, 酒浸一晝夜, 蒸過方入藥用.}} 天南星ㆍ白附子{{凡使, 於熱灰中炮裂, 方入藥用. 或別有製度, 各依本方.}} 馬兠零{{凡使, 須微炙過, 方入藥用.}} 骨碎補{{凡使, 用刀刮去上黃皮毛令盡, 細剉, 用酒拌蒸壹日, 取出㬠乾用. 緩急, 只焙乾, 不蒸亦得.}} 葫蘆巴{{凡使, 微炒過, 入藥用.}} 使君子{{凡使, 先於熱灰中和皮炮, 却去皮取仁, 焙乾入藥用.}} 桔梗ㆍ大戟ㆍ延胡索ㆍ葶藶子ㆍ牽牛子等{{凡使, 並微炒過, 方入藥用.}} 川芎ㆍ白芷{{凡使, 並剉碎焙乾, 方入藥用.}}
DD	木部
ZZ	肉桂{{凡使, 不見火, 先去麁皮, 令見心中有味處, 剉, 方入藥用. 如婦人妊娠藥中, 仍微炒用爲佳.}} 茯苓ㆍ猪苓{{凡使, 須先去黑皮, 剉碎焙乾用.}} 茯神{{凡使, 先去麁皮幷中心所抱木, 剉碎焙乾入藥用.}} 酸棗仁{{凡使, 先以慢火炒令十分香熟, 方硏破用.}} 黃蘖{{凡使, 先去粗皮, 蜜塗炙, 方入藥用.}} 乾漆{{凡使, 須擣碎炒熟入藥用. 不爾損人腸胃.}} 蔓荊實{{凡使, 用酒浸蒸一伏時, 取出焙乾用.}} 杜仲{{凡使, 先去上粗皮令淨, 以生薑汁塗, 炙令香熟, 令無絲爲度. 或只剉碎, 以薑汁拌炒, 令絲絶亦得.}} 沈香ㆍ檀香{{凡使, 先別剉碎, 擣羅爲細末, 方入藥用.}} 桑白皮{{凡使, 先剉碎, 微炒過, 方入藥用.}} 吳茱萸{{凡使, 先以沸湯浸洗七次, 焙乾微炒過, 方入藥用. 若治外病不入口者, 不洗亦得.}} 檳榔{{凡使, 須取存坐端正堅實者, 先以刀刮去底, 細切, 勿經火, 恐無力效. 若熟使, 不如不用.}} 梔子{{凡使, 先去皮ㆍ鬚ㆍ子, 用甘草水浸一宿, 漉出焙乾, 入藥用.}} 枳實ㆍ枳殼{{凡使, 要陳者, 先以湯浸, 磨去穰, 焙乾, 以麩炒焦, 候香熟爲度.}} 厚朴{{凡使, 先刮去麁皮, 令見赤心, 以生薑汁炙三次, 取令香熟爲度. 或只剉碎使, 薑汁炒亦得.}} 山茱萸{{凡使, 先須擣碎焙乾用, 或只和核使亦得.}} 大腹皮{{凡使, 先須以酒洗, 再以大豆汁洗過, 剉碎焙乾方可用.}} 巴豆{{凡使, 先去殼幷心膜, 爛擣, 以紙裹壓去油, 取霜入藥用. 又一法去殼心膜了, 以水煮, 伍度換水, 各煮壹沸, 硏, 不爾令人悶.}} 蜀椒{{凡使, 先去枝梗幷目及閉口者, 微炒過, 隔紙鋪在地上, 以盞盖, 令出汗, 方入藥用.}} 皂角{{凡使, 要揀肥長大不蛀者, 削去皮ㆍ絃幷子, 塗酥炙令焦黃, 方入藥用.}} 訶梨勒{{凡使, 先於煻灰中炮, 去核取肉, 酒浸蒸壹伏時, 取出焙乾, 方入藥用.}} 楝實{{凡使, 先以酒浸潤, 待上皮軟, 剝去虛皮, 焙乾以麩炒, 入木臼內, 杵爲粗末, 羅過去核, 方入藥用.}} 蕪荑{{凡使, 先須微炒過, 方可用.}} 龍腦ㆍ騏驎竭ㆍ乳香ㆍ松脂等{{凡使, 並須別硏, 令極細, 方可入藥用.}}
DD	獸部
ZZ	龍骨{{凡使, 要粘舌者, 先以酒浸壹宿, 焙乾, 細擣羅硏如粉了, 以水飛過參度, 日中㬠乾用之. 如緩急, 只以酒煮焙乾用亦得. 他有炮製, 各依本方.}} 麝香ㆍ牛黃{{凡使, 先用別硏令細, 然後入藥用之.}} 阿膠及諸膠{{凡使, 先擣碎炒, 候沸燥如珠子, 方可入藥用.}} 鹿茸{{凡使, 用茄茸連頂骨者, 先燎去毛令淨, 約參寸已來截斷, 酒浸壹日慢火炙令脆方用. 或用酥塗炙, 各依本方炮製.}} 虎骨{{凡使, 先斫開, 取出內中髓, 却塗酒及酥等, 反覆炙令黃赤色, 方用.}} 膃肭臍{{凡使, 先用酒浸, 慢火反覆炙令熟, 方入藥用.}}
DD	禽魚蟲部
ZZ	夜明砂{{卽伏翼屎也. 凡使, 須微炒過, 方入藥用.}} 白蜜{{凡使, 先以火煎, 掠去沫, 令色微黃, 則經久不壞, 掠之多少, 隨蜜精粗.}} 牡蠣{{凡使, 用火煆令通赤, 候冷細硏如粉, 方可用.}} 眞珠{{凡使, 要取新淨未曾傷破及鑽透者, 於臼中擣令細, 絹羅重重篩過, 却更硏一二萬下了, 任用之.}} 桑螵蛸{{凡使, 先用炙過, 或蒸過亦得.}} 鼈甲ㆍ龜甲{{凡使, 先用醋浸三日, 去裙, 慢火中反覆炙, 令黃赤色爲度. 如急用, 只蘸醋炙候黃色便可用.}} 露蜂房{{凡使, 先炙過方可用, 或炒亦得.}} 蟬蛻{{凡使, 先去觜足, 湯浸潤, 洗去泥土, 却曝乾, 微炒過, 任用之.}} 白殭蠶{{凡使, 要白色條直者, 先去絲觜, 微炒過方用. 或有只生用者, 各依本方.}} 原蠶蛾{{凡使, 去趐足, 微炒過, 方入藥用. 蠶沙亦用炒.}} 蝦蟆{{凡使, 先以酥塗或酒浸, 慢火中反覆炙, 令焦黃爲度. 或燒灰存性用. 他有炮製, 各依本方.}} 蛇蛻{{凡使, 先須炙過方可用. 或燒成灰, 入藥用. 各依本方炮製.}} 烏蛇ㆍ白花蛇{{凡使, 先以酒浸參日夜, 慢火上反覆炙, 令黃赤乾燥, 去皮骨, 取肉入藥用.}} 地龍{{凡使, 先搓去土, 微炒過方用.}} 蜈蚣{{凡使, 先要炙過, 方可入藥用.}} 班猫{{凡使, 先去足翼, 用糯米同炒熟, 方可入藥用, 生卽吐瀉人.}} 天漿子{{凡使, 須微炒過用之.}} 蜣蜋{{凡使, 先去頭翅足, 炙過用之.}} 五靈脂{{凡使, 先以酒硏飛鍊, 淘去沙石, 㬠乾, 方入藥用.}}
DD	果菜部
ZZ	草豆蔻{{凡使, 須去皮, 取仁焙乾用. 或只和皮煻灰中炮熟, 去皮用亦得.}} 陳皮ㆍ青皮{{凡使, 先以湯浸, 磨去穰, 曝乾麩炒入藥用. 或急用, 只焙乾亦得.}} 烏梅{{凡使, 先洗槌去核取肉微炒過用之.}} 木瓜{{凡使, 先去穰幷硬子, 剉碎焙乾, 入藥用.}} 杏仁ㆍ桃仁{{凡使, 先以湯浸去皮尖及雙仁者, 控乾用麩炒, 令黃赤色爲度.}} 胡桃{{凡使, 去殼, 以湯浸去皮, 却硏, 入藥用之.}} 韭子{{凡使, 先須微炒過用之, 亦有生用者.}} 胡麻{{卽黑油麻也. 凡使, 先炒過用, 或九蒸九曝用亦得.}} 黑豆ㆍ赤小豆ㆍ大豆黃卷ㆍ麥糵ㆍ神麯ㆍ白藊豆ㆍ菉豆等{{凡使, 並用炒過, 方入藥用.}}
ZZ	凡有修合, 依法炮製, 分兩無虧, 勝也.
BB	簡要濟衆方
CC	論五方治病用藥砭灸所宜之法
ZZ	古之醫病, 一病而治各不同, 皆愈者何也? 謂地勢使然. 故東方之域, 天地之法始生也. 魚塩之地, 海濱傍水, 其民食魚而嗜醎, 皆安其處, 美其食. 魚者使人熱中, 塩者勝血, 故其民皆黑色踈理, 其病皆爲癕{痬:역!瘍의 오자}, 其治宜砭石. 故砭石者, 亦從東方來.
ZZ	西方者, 金玉之域, 沙石之處, 天地之所收引. 其民陵居而多風, 水土剛強, 其民不衣而褐薦, 其民華食而脂肥, 故邪不能傷其形體, 其病皆生於內, 其治宜毒藥. 故毒藥者, 亦從西方來. 北方者, 天地閉藏之域. 其地高陵居, 風寒冰冽, 其民樂野處而乳食, 藏寒生滿病, 其治宜灸焫. 故灸焫者, 亦從北方來.
ZZ	南方者, 天地所養長, 陽之所盛處也. 其地下, 水土弱, 霧露之所聚. 其民嗜酸而食胕, 故其民皆緻理而赤色, 其病攣痺, 其治宜微針. 故九針者, 亦從南方來.
ZZ	中央者, 其地平以濕, 天地所生萬物也衆. 其民食雜而不勞, 故其病多痿瘚寒熱, 其治宜導引桉蹻. 故導引桉蹻者, 亦從中央出也. 故聖人雜合以治, 各得其所宜, 故治所以異而病皆愈者, 得病之情, 知治之大體也.
BB	三因方
CC	太醫習業
